customer_id,company_name,industry,region,tier,signup_date
CUST-0133,"Patterson, Wood and Hunter",Conveyancer Tech,APAC,Enterprise,2024-08-06
CUST-0134,Short-Garcia,Illustrator Tech,LATAM,Starter,2025-12-03
CUST-0135,Zimmerman-Graham,(maths) Tech,APAC,Professional,2025-12-15
CUST-0136,Gilbert-Gillespie,Assistant Tech,North America,Professional,2025-07-24
CUST-0137,Petersen-Vargas,Trainer Tech,APAC,Professional,2026-05-20
CUST-0138,Rivas Inc,Specialist Tech,North America,Enterprise,2026-06-12
CUST-0139,Sanchez-Marshall,Manager Tech,EMEA,Enterprise,2025-12-28
CUST-0140,Rogers-Snyder,Broadcasting Tech,North America,Starter,2024-12-16
CUST-0141,Lewis-Salinas,Public Tech,EMEA,Professional,2025-03-02
CUST-0142,"Haynes, Hill and Smith",Aeronautical Tech,EMEA,Starter,2024-10-02
CUST-0143,Cortez Group,Control Tech,EMEA,Professional,2026-03-08
CUST-0144,Vaughn Ltd,Officer Tech,APAC,Professional,2025-07-11
CUST-0145,Davis and Sons,Ophthalmologist Tech,APAC,Professional,2026-01-16
CUST-0146,Torres PLC,Retail Tech,North America,Enterprise,2025-07-30
CUST-0147,"Schmidt, Coleman and Reese",Lawyer Tech,LATAM,Starter,2025-04-27
CUST-0148,"Chavez, Parker and Hall",Automotive Tech,North America,Professional,2025-03-30
CUST-0149,Newton Ltd,Engineer Tech,EMEA,Starter,2024-12-23
CUST-0150,Rodgers LLC,Manager Tech,APAC,Professional,2026-03-10
CUST-0151,"Carlson, Hooper and Wall",Manager/officer Tech,LATAM,Starter,2025-01-20
CUST-0152,White-Smith,Government Tech,LATAM,Professional,2024-11-03
CUST-0153,Williams-Brown,Commercial Tech,North America,Professional,2026-01-20
CUST-0154,Little Group,Contracting Tech,EMEA,Starter,2026-06-05
CUST-0155,Andrews Group,Manager Tech,APAC,Professional,2025-07-05
CUST-0156,Lopez-Williams,Manager Tech,EMEA,Professional,2024-10-24
CUST-0157,Morales Inc,Author Tech,North America,Starter,2025-11-28
CUST-0158,"Brown, Hernandez and Hart",Buyer Tech,North America,Starter,2024-10-02
CUST-0159,Wilson Group,Officer Tech,EMEA,Enterprise,2025-11-03
CUST-0160,"Perez, Mills and Hayes",Officer Tech,North America,Professional,2025-03-15
CUST-0161,"Branch, Torres and Oliver",Manager Tech,LATAM,Starter,2026-02-22
CUST-0162,Meza and Sons,Mining Tech,EMEA,Enterprise,2025-02-18
CUST-0163,"Miller, Allen and Arnold",Graphic Tech,EMEA,Enterprise,2024-07-30
CUST-0164,Hayes-Wheeler,Amenity Tech,EMEA,Enterprise,2024-08-22
CUST-0165,Roberts LLC,Emeritus Tech,North America,Enterprise,2024-09-21
CUST-0166,"Hall, Baker and Moody",Manager Tech,APAC,Starter,2025-12-23
CUST-0167,Coleman PLC,Officer Tech,LATAM,Professional,2025-12-13
CUST-0168,Kerr and Sons,Surveyor Tech,EMEA,Professional,2024-09-12
CUST-0169,Sparks PLC,Education Tech,North America,Starter,2026-07-13
CUST-0170,Gonzales-Harrison,Buyer Tech,North America,Starter,2026-01-22
CUST-0171,Bender-Mason,Party Tech,EMEA,Enterprise,2025-07-03
CUST-0172,George Group,Trainer Tech,LATAM,Starter,2025-11-08
CUST-0173,Johnson-Perez,Technician Tech,EMEA,Starter,2025-10-27
CUST-0174,Key Ltd,Processor Tech,EMEA,Starter,2025-10-18
CUST-0175,Hines and Sons,Movement Tech,APAC,Starter,2025-09-04
CUST-0176,"Ramos, Ramirez and Shea",Photographer Tech,APAC,Enterprise,2025-12-03
CUST-0177,Costa-Harrison,Osteopath Tech,LATAM,Starter,2025-04-12
CUST-0178,Santiago-Hodge,Architect Tech,APAC,Professional,2025-06-12
CUST-0179,"Simpson, Bates and Morales",Statistician Tech,North America,Enterprise,2024-08-25
CUST-0180,Miller-King,Manager Tech,APAC,Enterprise,2026-03-20
CUST-0181,Hancock-Bryan,Manager Tech,APAC,Starter,2025-12-20
CUST-0182,"Murray, Brown and Stone",Writer Tech,LATAM,Starter,2026-03-07
CUST-0183,Garrett-Wolf,Electronics Tech,APAC,Starter,2025-02-20
CUST-0184,"Anderson, Roberts and Gilmore",Producer Tech,North America,Starter,2024-10-30
CUST-0185,Dudley PLC,Editor Tech,EMEA,Starter,2026-01-30
CUST-0186,Collins Inc,Sub Tech,LATAM,Starter,2025-06-09
CUST-0187,Walker Inc,Clinical Tech,EMEA,Starter,2024-10-27
CUST-0188,"Collier, Jimenez and Moran",Executive Tech,North America,Starter,2026-01-26
CUST-0189,Perry-Olson,Manager Tech,APAC,Enterprise,2025-02-02
CUST-0190,Arnold-Reyes,Manager Tech,North America,Professional,2025-08-26
CUST-0191,"Suarez, Shields and Hill",Examiner Tech,APAC,Professional,2025-04-17
CUST-0192,"Adams, Smith and Barber",Manager Tech,LATAM,Professional,2025-10-21
CUST-0193,"Burns, Hernandez and Ryan",Manager Tech,APAC,Starter,2025-04-12
CUST-0194,"Hines, Bennett and Cantu",Engineer Tech,EMEA,Professional,2026-01-20
CUST-0195,Armstrong and Sons,Nurse Tech,LATAM,Starter,2024-08-30
CUST-0196,Garner-Thornton,Curator Tech,EMEA,Professional,2025-05-23
CUST-0197,"Sparks, Pearson and Hernandez",Animator Tech,APAC,Professional,2024-11-03
CUST-0198,"Sanford, Rivera and Garcia",Printmaker Tech,North America,Starter,2024-10-13
CUST-0199,"Lozano, Smith and Thomas",Fashion/clothing Tech,EMEA,Starter,2024-09-24
CUST-0200,Harrington-Baker,Worker Tech,APAC,Starter,2026-01-17
